sample_id,dataset,record_id,title,abstract,element_key,element_description,truth_label
S001,Jeyaraman_2020,https://openalex.org/W68021579,"Microfracture: indications, technique, and results.","The so-called ""marrow stimulating"" technique of microfracture uses an awl to penetrate the subchondral bone in cartilage defects. Disruption of the subchondral bone induces fibrin clot formation in the area of the chondral defect. This clot contains pluripotent, marrow-derived mesenchymal stem cells, which are able to differentiate into fibrochondrocytes, resulting in a fibrocartilage repair with varying amounts of type I, II, and III collagen content. Microfracture is a single-stage procedure t",population,Population | Include: knee osteoarthritis; osteoarthritis of the knee; knee OA; gonarthrosis; degenerative joint disease of the knee | Exclude: hip osteoarthritis; hand osteoarthritis; spine osteoarthritis,
S001,Jeyaraman_2020,https://openalex.org/W68021579,"Microfracture: indications, technique, and results.","The so-called ""marrow stimulating"" technique of microfracture uses an awl to penetrate the subchondral bone in cartilage defects. Disruption of the subchondral bone induces fibrin clot formation in the area of the chondral defect. This clot contains pluripotent, marrow-derived mesenchymal stem cells, which are able to differentiate into fibrochondrocytes, resulting in a fibrocartilage repair with varying amounts of type I, II, and III collagen content. Microfracture is a single-stage procedure t",intervention,Intervention | Include: adipose-derived mesenchymal stem cells; adipose-derived MSCs; AD-MSCs; adipose tissue-derived stromal cells; adipose stromal cells | Exclude: dental pulp stem cells; induced pluripotent stem cells; embryonic stem cells,
S001,Jeyaraman_2020,https://openalex.org/W68021579,"Microfracture: indications, technique, and results.","The so-called ""marrow stimulating"" technique of microfracture uses an awl to penetrate the subchondral bone in cartilage defects. Disruption of the subchondral bone induces fibrin clot formation in the area of the chondral defect. This clot contains pluripotent, marrow-derived mesenchymal stem cells, which are able to differentiate into fibrochondrocytes, resulting in a fibrocartilage repair with varying amounts of type I, II, and III collagen content. Microfracture is a single-stage procedure t",study_design,study_design,
S002,Jeyaraman_2020,https://openalex.org/W3007172259,Proceedings of the 3rd IPLeiria’s International Health Congress,"Meeting abstracts: Proceedings of the 3rd IPLeiria’s International Health Congress. Leiria, Portugal. 6-7 May 2016",population,Population | Include: knee osteoarthritis; osteoarthritis of the knee; knee OA; gonarthrosis; degenerative joint disease of the knee | Exclude: hip osteoarthritis; hand osteoarthritis; spine osteoarthritis,
S002,Jeyaraman_2020,https://openalex.org/W3007172259,Proceedings of the 3rd IPLeiria’s International Health Congress,"Meeting abstracts: Proceedings of the 3rd IPLeiria’s International Health Congress. Leiria, Portugal. 6-7 May 2016",intervention,Intervention | Include: adipose-derived mesenchymal stem cells; adipose-derived MSCs; AD-MSCs; adipose tissue-derived stromal cells; adipose stromal cells | Exclude: dental pulp stem cells; induced pluripotent stem cells; embryonic stem cells,
S002,Jeyaraman_2020,https://openalex.org/W3007172259,Proceedings of the 3rd IPLeiria’s International Health Congress,"Meeting abstracts: Proceedings of the 3rd IPLeiria’s International Health Congress. Leiria, Portugal. 6-7 May 2016",study_design,study_design,
S003,Jeyaraman_2020,https://openalex.org/W2969413901,Increased Chondrocytic Gene Expression Is Associated With Improved Repair Tissue Quality and Graft Survival in Patients After Autologous Chondrocyte Implantation,"Background: Assays to quantitate the quality of autologous chondrocyte implants have recently become available. However, the correlation of the assay score with radiological and clinical outcomes has not been established. Purpose/Hypothesis: The purpose was to assess the influence of cell identity (chondrocyte/synoviocyte gene expression ratio) and viability on patient-reported outcome measures, graft survival, and repair tissue quality. It was hypothesized that greater cell product quality as a",population,Population | Include: knee osteoarthritis; osteoarthritis of the knee; knee OA; gonarthrosis; degenerative joint disease of the knee | Exclude: hip osteoarthritis; hand osteoarthritis; spine osteoarthritis,
S003,Jeyaraman_2020,https://openalex.org/W2969413901,Increased Chondrocytic Gene Expression Is Associated With Improved Repair Tissue Quality and Graft Survival in Patients After Autologous Chondrocyte Implantation,"Background: Assays to quantitate the quality of autologous chondrocyte implants have recently become available. However, the correlation of the assay score with radiological and clinical outcomes has not been established. Purpose/Hypothesis: The purpose was to assess the influence of cell identity (chondrocyte/synoviocyte gene expression ratio) and viability on patient-reported outcome measures, graft survival, and repair tissue quality. It was hypothesized that greater cell product quality as a",intervention,Intervention | Include: adipose-derived mesenchymal stem cells; adipose-derived MSCs; AD-MSCs; adipose tissue-derived stromal cells; adipose stromal cells | Exclude: dental pulp stem cells; induced pluripotent stem cells; embryonic stem cells,
S003,Jeyaraman_2020,https://openalex.org/W2969413901,Increased Chondrocytic Gene Expression Is Associated With Improved Repair Tissue Quality and Graft Survival in Patients After Autologous Chondrocyte Implantation,"Background: Assays to quantitate the quality of autologous chondrocyte implants have recently become available. However, the correlation of the assay score with radiological and clinical outcomes has not been established. Purpose/Hypothesis: The purpose was to assess the influence of cell identity (chondrocyte/synoviocyte gene expression ratio) and viability on patient-reported outcome measures, graft survival, and repair tissue quality. It was hypothesized that greater cell product quality as a",study_design,study_design,
S004,Jeyaraman_2020,https://openalex.org/W1830000322,Three-dimensional bioprinting in tissue engineering and regenerative medicine,"With the advances of stem cell research, development of intelligent biomaterials and three-dimensional biofabrication strategies, highly mimicked tissue or organs can be engineered. Among all the biofabrication approaches, bioprinting based on inkjet printing technology has the promises to deliver and create biomimicked tissue with high throughput, digital control, and the capacity of single cell manipulation. Therefore, this enabling technology has great potential in regenerative medicine and t",population,Population | Include: knee osteoarthritis; osteoarthritis of the knee; knee OA; gonarthrosis; degenerative joint disease of the knee | Exclude: hip osteoarthritis; hand osteoarthritis; spine osteoarthritis,
S004,Jeyaraman_2020,https://openalex.org/W1830000322,Three-dimensional bioprinting in tissue engineering and regenerative medicine,"With the advances of stem cell research, development of intelligent biomaterials and three-dimensional biofabrication strategies, highly mimicked tissue or organs can be engineered. Among all the biofabrication approaches, bioprinting based on inkjet printing technology has the promises to deliver and create biomimicked tissue with high throughput, digital control, and the capacity of single cell manipulation. Therefore, this enabling technology has great potential in regenerative medicine and t",intervention,Intervention | Include: adipose-derived mesenchymal stem cells; adipose-derived MSCs; AD-MSCs; adipose tissue-derived stromal cells; adipose stromal cells | Exclude: dental pulp stem cells; induced pluripotent stem cells; embryonic stem cells,
S004,Jeyaraman_2020,https://openalex.org/W1830000322,Three-dimensional bioprinting in tissue engineering and regenerative medicine,"With the advances of stem cell research, development of intelligent biomaterials and three-dimensional biofabrication strategies, highly mimicked tissue or organs can be engineered. Among all the biofabrication approaches, bioprinting based on inkjet printing technology has the promises to deliver and create biomimicked tissue with high throughput, digital control, and the capacity of single cell manipulation. Therefore, this enabling technology has great potential in regenerative medicine and t",study_design,study_design,
