sample_id,dataset,record_id,title,abstract,source,pico_criteria_summary,true_label,models_called,sprt_early_stop
S001,Jeyaraman_2020,https://openalex.org/W68021579,"Microfracture: indications, technique, and results.","The so-called ""marrow stimulating"" technique of microfracture uses an awl to penetrate the subchondral bone in cartilage defects. Disruption of the subchondral bone induces fibrin clot formation in the area of the chondral defect. This clot contains pluripotent, marrow-derived mesenchymal stem cells, which are able to differentiate into fibrochondrocytes, resulting in a fibrocartilage repair with varying amounts of type I, II, and III collagen content. Microfracture is a single-stage procedure that is ideally suited for small, well-contained, Outerbridge grade 3 to 4 cartilage lesions. Most clinical studies of the outcomes after microfracture in the knee show improvement in knee function in 70% to 90% of patients. The long-term results vary. Almost all studies report significant improvement in the first year after surgery; some report a decline in activity levels after 1 year, especially in elite athletes. Other studies have shown a continuation of good results for up to 7 years. Recent studies have shown that a body mass index greater than 30 kg/m(2) and incomplete fibrocartilage fill of a lesion as observed on MRI correlate with a poor outcome. The technical simplicity of the procedure, cost-effectiveness, and relatively low patient morbidity make microfracture an invaluable tool for the treatment of small full-thickness cartilage lesions. Microfracture is a good first-line procedure because it does not prevent the application of other cartilage repair procedures that may be needed in the future.",hr,"Comparison: bone marrow-derived mesenchymal stem cells, bone marrow-derived MSCs, BM-MSCs; Intervention: adipose-derived mesenchymal stem cells, adipose-derived MSCs, AD-MSCs; Outcome: visual analog scale for pain, VAS pain, Western Ontario and McMaster Universities Osteoarthritis Index; Population:",0,2,True
S002,Jeyaraman_2020,https://openalex.org/W3007172259,Proceedings of the 3rd IPLeiria’s International Health Congress,"Meeting abstracts: Proceedings of the 3rd IPLeiria’s International Health Congress. Leiria, Portugal. 6-7 May 2016",hr,"Comparison: bone marrow-derived mesenchymal stem cells, bone marrow-derived MSCs, BM-MSCs; Intervention: adipose-derived mesenchymal stem cells, adipose-derived MSCs, AD-MSCs; Outcome: visual analog scale for pain, VAS pain, Western Ontario and McMaster Universities Osteoarthritis Index; Population:",0,2,True
S003,Jeyaraman_2020,https://openalex.org/W2969413901,Increased Chondrocytic Gene Expression Is Associated With Improved Repair Tissue Quality and Graft Survival in Patients After Autologous Chondrocyte Implantation,"Background: Assays to quantitate the quality of autologous chondrocyte implants have recently become available. However, the correlation of the assay score with radiological and clinical outcomes has not been established. Purpose/Hypothesis: The purpose was to assess the influence of cell identity (chondrocyte/synoviocyte gene expression ratio) and viability on patient-reported outcome measures, graft survival, and repair tissue quality. It was hypothesized that greater cell product quality as assessed through an identity assay and cell viability is associated with superior outcomes after autologous chondrocyte implantation (ACI) for symptomatic cartilage defects. Study Design: Cohort study; Level of evidence, 3. Methods: Seventy-nine patients with a minimum follow-up of 2 years were included in this study. Of these, 67 patients were available for imaging assessment utilizing the Magnetic Resonance Observation of Cartilage Repair Tissue (MOCART) scoring system. Patients were assigned to groups either below or above the cohort’s mean based on their individual cell identity score and viability percentage. Results: Patients were predominantly female (57.7%) with a mean age of 30.0 ± 9.3 years. No differences were seen between Knee injury and Osteoarthritis Outcome Score, Lysholm, Tegner, or International Knee Documentation Committee Subjective Knee Evaluation Form within the viability and cell identity groups at a final follow-up of 3.8 ± 1.4 years after ACI ( P &gt; .05). In a subset of patients, the mean MOCART score was 68.3 ± 15.6 at an average magnetic resonance imaging follow-up of 17.7 ± 9.56 months. Low cell identity was significantly associated with the degree of defect filling ( P = .025), integration of border zone ( P = .01), effusion ( P = .024), and ACI graft failure ( P = .002). Patients with above-average cell identity scores had a significantly higher survival rate at 5-year follow-up compared with patients with below-average scores (95.8% vs 64.7%; P = .013). Cell viability did not influence MOCART subscales or graft failure (all P &gt; .05). Cell viability and identity showed no significant correlation with each other ( r = −0.045; P = .694). Conclusion: Cell identity was significantly correlated with structural repair quality and graft survival after second-generation ACI for symptomatic chondral lesions in the knee. While improved imaging outcome and higher graft survivorship were associated with a higher individual cell identity score indicating a higher chondrocyte/synoviocyte gene expression ratio in the final cell product, clinical outcome did not correlate with the identity score.",hr,"Comparison: bone marrow-derived mesenchymal stem cells, bone marrow-derived MSCs, BM-MSCs; Intervention: adipose-derived mesenchymal stem cells, adipose-derived MSCs, AD-MSCs; Outcome: visual analog scale for pain, VAS pain, Western Ontario and McMaster Universities Osteoarthritis Index; Population:",0,2,True
S004,Jeyaraman_2020,https://openalex.org/W1830000322,Three-dimensional bioprinting in tissue engineering and regenerative medicine,"With the advances of stem cell research, development of intelligent biomaterials and three-dimensional biofabrication strategies, highly mimicked tissue or organs can be engineered. Among all the biofabrication approaches, bioprinting based on inkjet printing technology has the promises to deliver and create biomimicked tissue with high throughput, digital control, and the capacity of single cell manipulation. Therefore, this enabling technology has great potential in regenerative medicine and translational applications. The most current advances in organ and tissue bioprinting based on the thermal inkjet printing technology are described in this review, including vasculature, muscle, cartilage, and bone. In addition, the benign side effect of bioprinting to the printed mammalian cells can be utilized for gene or drug delivery, which can be achieved conveniently during precise cell placement for tissue construction. With layer-by-layer assembly, three-dimensional tissues with complex structures can be printed using converted medical images. Therefore, bioprinting based on thermal inkjet is so far the most optimal solution to engineer vascular system to the thick and complex tissues. Collectively, bioprinting has great potential and broad applications in tissue engineering and regenerative medicine. The future advances of bioprinting include the integration of different printing mechanisms to engineer biphasic or triphasic tissues with optimized scaffolds and further understanding of stem cell biology.",auto_exclude,"Comparison: bone marrow-derived mesenchymal stem cells, bone marrow-derived MSCs, BM-MSCs; Intervention: adipose-derived mesenchymal stem cells, adipose-derived MSCs, AD-MSCs; Outcome: visual analog scale for pain, VAS pain, Western Ontario and McMaster Universities Osteoarthritis Index; Population:",0,2,True
S005,Jeyaraman_2020,https://openalex.org/W2124530447,Reticulated vitreous carbon: a useful material for cell adhesion and tissue invasion,"Diverse carbon materials have been used for tissue engineering and clinical implant applications with varying success. In this study, commercially available reticulated vitreous carbon (RVC) foams were tested in vitro and in vivo for compatibility with primary cell adhesion and tissue repair. Pores sizes were determined as 279 ± 98 μm. No hydroxyapatite deposition was detected after immersion of the foams in simulated body fluid. Nonetheless, RVC provided an excellent support for adhesion of mesenchymal stem cells (MSCs) as well as primary chondrocytes without any surface pre-treatment. Live cell quantification revealed neutral behaviour of the material with plastic adhered chondrocytes but moderate cytotoxicity with MSCs. Yet, rabbit implanted foams exhibited good integration in subcutaneous pockets and most importantly, total defect repair in bone. Probably due to the stiffness of the material, incompatibility with cartilage regeneration was found. Interestingly and in contrast to several other carbon materials, we observed a total lack of foreign body reactions. Our results and its outstanding porous interconnectivity and availability within a wide range of pore sizes convert RVC into an attractive candidate for tissue engineering applications in a variety of bone models and for ex vivo cell expansion for regenerative medical applications.",auto_exclude,"Comparison: bone marrow-derived mesenchymal stem cells, bone marrow-derived MSCs, BM-MSCs; Intervention: adipose-derived mesenchymal stem cells, adipose-derived MSCs, AD-MSCs; Outcome: visual analog scale for pain, VAS pain, Western Ontario and McMaster Universities Osteoarthritis Index; Population:",0,2,True
S006,Chou_2003,https://openalex.org/W2420372423,Irrtümliche intravenöse Adrenalininjektion,"Since a car accident a 29-year-old man had been suffering from chronic pain treated with injections of morphine and tilidine. Because of renewed worsening of pain he went to the emergency doctor who by mistake intravenously injected 1 mg of undiluted adrenaline. The patients immediately collapsed and pulmonary oedema developed.On admission he was hypotensive (85/45 mmHg) and tachycardic (135/min), respiratory rate 36/min. Moist rales were heard throughout the lung. The white cell count was elevated and serum potassium low (3.5 mmol/l). but other routine laboratory tests were unremarkable.Furosemide, nitroglycerin and morphine were injected at once and his general state improved over the subsequent few hours. Chest radiogram on the next day demonstrated marked reduction of the pulmonary oedema.To prevent similar, potentially lethal, accidents, before every i.v. injection two persons should check the name of the drug on the label of the vial or bottle, both on drawing up and before injecting the drug.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S007,Chou_2003,https://openalex.org/W2416308568,Get pragmatic about pot.,,hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S008,Chou_2003,https://openalex.org/W2097142258,Treating Pain Patients at Risk: Evaluation of a Screening Tool in Opioid-Treated Pain Patients With and Without Addiction,"Patients receiving opioid treatment for chronic pain, many of whom were hospitalized with medical complications of substance abuse, were asked to complete a screening questionnaire to help validate a simple self-administered survey. Questions relating to tobacco abuse and prior treatment for drug and alcohol abuse distinguished patients with addiction and pain from opioid-treated chronic pain patients.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S009,Chou_2003,https://openalex.org/W11037936,Aspects of the problems in treating chronic pain: Florida pain management guidelines.,,hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S010,Chou_2003,https://openalex.org/W62554526,Rhabdomyolysis-induced acute renal failure after morphine overdose--a case report.,"The 39-year-old male in this report was a victim of C4 spinal cord injury for 7 years. He was regularly followed up at our pain clinic and psychiatric out-patient department (OPD) for treatment of his chronic pain with morphine, anticonvulsant and sedatives. At the night of December 15, 1997, he took approximately 0.1 gm of morphine and a certain number of flurazepam pills. On the next day, he experienced numbness and paresis in both legs in association with painful swelling of both thighs. Then he sought medical advice at our hospital and was admitted for investigation on December 20, 1997. Laboratory examination revealed elevated creatine kinase activity, increased urine myoglobin concentration and raised plasma creatinine, signifying the development of acute muscle damage. The excreted urine morphine concentration was as high as 6,384 ng/mL. Increased PYP uptake in the proximal portion of both thighs was noted on muscle scan. These abnormalities were resolved gradually over two weeks under conservative treatment. Morphine-induced rhabdomyolysis complicated by acute renal failure was highly suspected.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S011,Chou_2003,https://openalex.org/W2143938223,Mechanisms of action of intrathecal medications,"Intrathecal delivery of medications for the management of chronic pain syndromes reflects a modern targeted delivery system with the potential for even greater efficacy than is outlined in Tables 1 and 2. The twentieth century ushered in the development of parenteral approaches of medical therapy for chronic pain and other diseases that were superior to the traditional oral delivery methods known in the preceding century. Targeted drug delivery represents a significant advancement in the treatment of patients with chronic pain and is likely be the method of choice for the twenty-first century. This method of delivery is best represented by current drug delivery systems, such as the intrathecal drug pump. Traditional pharmacologic agents will still be used in the twenty-first century; however, the development of novel compounds, transplanted tissues, and genetic engineering will likely usher in a new era of pain management, including their use as analgesics for intraspinal infusion.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S012,Chou_2003,https://openalex.org/W2074462228,Custom-made capsules and suppositories of methadone for patients on high-dose opioids for cancer pain,"In a prospective, open study, 37 advanced cancer patients in poor pain control receiving high doses of subcutaneous hydromorphone (mean daily dose: 276 +/- 163 mg) were switched to methadone by use of custom-made capsules (21 patients) or suppositories (16 patients). The change in opioid took place over 6.5 +/- 3.6 days (oral) and 3.2 +/- 2.7 days (rectal). The methadone/hydromorphone dose ratios were 1.2 +/- 1.3 and 3 +/- 2 for the oral and rectal routes, respectively (P = 0.03) as compared to an expected ratio of 5-7, based on single dose available data. Pain intensity (VAS 0-100 mm) and the number of extra doses of analgesic per day were 51 +/- 22 and 3.2 +/- 2.7 with hydromorphone, versus 34 +/- 21 (P < 0.001) and 2.1 +/- 1.9 (P = 0.03) with methadone, respectively. The total cost of treatment was Canadian $148 +/- 202 with methadone as compared to Canadian $2135 +/- 472 with hydromorphone (P < 0.001). Toxicity was limited to mild sedation in all patients and proctitis in 2 patients on suppositories (one of whom required discontinuation of methadone). Plasma levels obtained in 6 patients on suppositories revealed large inter-individual variation in methadone level (ng/ml) to dose (mg/day) ratio (range: 0.8-8.5). Within individuals, the ratio remained constant over a range of doses. We conclude that a slow switch-over to methadone is a safe, effective and low cost alternative in selected cancer patients receiving high doses of opioids for poor prognostic pain syndromes.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S013,Chou_2003,https://openalex.org/W2147679514,"Effect of ketorolac on bleeding time and postoperative pain in children: a double-blind, placebo-controlled comparison with meperidine","To determine whether ketorolac 0.75 mg/kg would provide a comparable degree of analgesia to that of meperidine 1 mg/kg in terms of postoperative opioid requirements and pain scores in children undergoing surgeries associated with mild to moderate postsurgical discomfort.Randomized, prospective, placebo-controlled, double-blinded study of the initial 6 postsurgical hours.University affiliated teaching hospital.90 healthy ASA status I and II children scheduled for elective general, orthopedic, or genitourinary procedures associated with mild to moderate postsurgical pain. Extensive surgical procedures associated with a significant risk of bleeding were excluded.Ketorolac 0.75 mg/kg, meperidine 1 mg/kg, or placebo (normal saline) was administered intramuscularly (IM) at the beginning of surgery.Bleeding times were measured prior to and 180 minutes after study drug administration. Time to first rescue medication, total opioid requirement, pain scores, incidence of vomiting and length of stay were evaluated. Placebo-treated patients were rescued earlier (p < 0.0001) and required twice the rescue dosage (p = 0.013) when compared with either the ketorolac or meperidine groups. The ketorolac and meperidine groups did not differ with regard to time until first rescue, cumulative proportion requiring rescue, or the number of rescue doses required. A single dose of IM ketorolac prolonged bleeding time by 53 +/- 75 seconds (p = 0.006).Ketorolac provided analgesia comparable to that of meperidine and significantly reduced opioid requirements. Since ketorolac was not associated with a reduction in postoperative vomiting or length of stay, and in view of the uncertain risk of bleeding, it offers no advantage over meperidine in the management of mild to moderate acute postsurgical pain.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S014,Chou_2003,https://openalex.org/W2020503800,NEUROPATHIC PAIN: A CONDITION WHICH IS NOT ALWAYS WELL APPRECIATED,,hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
S015,Chou_2003,https://openalex.org/W2054167503,A Prospective Study of Long-term Intrathecal Morphine in the Management of Chronic Nonmalignant Pain,"To examine in a prospective manner the long-term safety and efficacy of chronic intrathecal morphine in patients with severe, nonmalignant pain refractory to less invasive modalities.Forty patients with severe, chronic nonmalignant pain poorly managed by systemic medications were identified as candidates for intraspinal trial of morphine. Thirty participants reported successful pain relief during trial and were implanted with an intraspinal delivery system. Standardized measures of pain and functional status were assessed before treatment was begun and at defined intervals during the subsequent 24 months. Intrathecal opioid use and pharmacological and device-related complications were also monitored.The participants had a mean age of 58 +/- 13 years and a mean pain duration of 8 +/- 9 years. Fifty-three percent of the study participants were women. Pain type was characterized as mixed neuropathic-nociceptive (15 of 30 patients, 50%), peripheral neuropathic (10 of 30 patients, 33%), deafferentation (4 of 30 patients, 13%), or nociceptive (1 of 30 patients, 3%). Forty-seven percent of the patients were diagnosed with failed back surgery syndrome. Significant improvement over baseline levels of visual analog scale pain was measured at each follow-up examination after implant. Overall, 50% (11 of 22 patients) of the population reported at least a 25% reduction in visual analog scale pain after 24 months of treatment. In addition, the McGill Pain Questionnaire, visual analog scale measures of functional improvement and pain coping, and several subscales of the Chronic Illness Problem Inventory showed improvement throughout the follow-up period. Pharmacological side effects were managed medically by morphine dose reduction, addition of bupivacaine, or replacement of morphine with hydromorphone. Device-related complications requiring repeat operations were experienced by 20% of the patients.Continuous intrathecal morphine can be a safe, effective therapy for the management of severe, nonmalignant pain among a carefully selected patient population and can result in long-term improvement in several areas of daily function.",hr,"Comparison: Other long-acting oral opioid, Different long-acting oral opioid, Active comparator; Intervention: Long-acting oral opioids, Extended-release oral opioids, Sustained-release oral opioids; Outcome: Pain intensity, Pain relief, Pain interference; Population: Chronic non-cancer pain, Chroni",0,2,True
