dataset,record_id,model_id,element_key,element_group,model_obs,truth_label,source
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,population,population_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,intervention,topic_like,mismatch,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,population,population_like,match,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,population,population_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,population,population_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,intervention,topic_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,population,population_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,intervention,topic_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,population,population_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,intervention,topic_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,population,population_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,intervention,topic_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,population,population_like,unclear,unclear,hr_sample
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,kimi-k2,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,kimi-k2,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,kimi-k2,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,llama4-maverick,intervention,topic_like,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,llama4-maverick,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W1830000322,llama4-maverick,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,deepseek-v3,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,deepseek-v3,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,deepseek-v3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,qwen3,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,qwen3,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,qwen3,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,kimi-k2,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,kimi-k2,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,kimi-k2,study_design,study_design,unclear,match,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,llama4-maverick,intervention,topic_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,llama4-maverick,population,population_like,unclear,mismatch,hr_sample
Jeyaraman_2020,https://openalex.org/W2124530447,llama4-maverick,study_design,study_design,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,deepseek-v3,intervention,topic_like,mismatch,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,deepseek-v3,population,population_like,mismatch,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,deepseek-v3,study_design,study_design,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,qwen3,intervention,topic_like,mismatch,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,qwen3,population,population_like,match,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,qwen3,study_design,study_design,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,kimi-k2,intervention,topic_like,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,kimi-k2,population,population_like,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,kimi-k2,study_design,study_design,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,llama4-maverick,intervention,topic_like,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,llama4-maverick,population,population_like,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2420372423,llama4-maverick,study_design,study_design,unclear,match,hr_sample
Chou_2003,https://openalex.org/W2416308568,deepseek-v3,intervention,topic_like,unclear,unclear,hr_sample
Chou_2003,https://openalex.org/W2416308568,deepseek-v3,population,population_like,unclear,unclear,hr_sample
Chou_2003,https://openalex.org/W2416308568,deepseek-v3,study_design,study_design,unclear,unclear,hr_sample
Chou_2003,https://openalex.org/W2416308568,qwen3,intervention,topic_like,unclear,unclear,hr_sample
Chou_2003,https://openalex.org/W2416308568,qwen3,population,population_like,unclear,unclear,hr_sample
Chou_2003,https://openalex.org/W2416308568,qwen3,study_design,study_design,unclear,unclear,hr_sample
