sample_id,dataset,record_id,title,abstract,element_key,element_description,truth_label,fn_verdict,fn_reason,source
FN_W2011790530,Jeyaraman_2020,https://openalex.org/W2011790530,Weight-Bearing Compared with Non-Weight-Bearing Following Osteochondral Autograft Transfer for Small Defects in Weight-Bearing Areas in the Femoral Articular Cartilage of the Knee,"Patients are routinely kept non-weight-bearing for four to eight weeks following osteochondral autograft transfer to repair cartilage defects of the medial and/or lateral femoral condyle. Therefore, the objective of this novel study was to investigate whether postoperative weight-bearing restrictions affect the outcomes of cartilage repair when an osteochondral autograft transfer system is used to repair small defects in weight-bearing areas of femoral articular cartilage.This a retrospective co",population,Population | Include: knee osteoarthritis; osteoarthritis of the knee; knee OA; gonarthrosis; degenerative joint disease of the knee | Exclude: hip osteoarthritis; hand osteoarthritis; spine osteoarthritis,match,label_error,"Osteochondral autograft transfer, not MSC therapy",fn_audit_inferred
FN_W2011790530,Jeyaraman_2020,https://openalex.org/W2011790530,Weight-Bearing Compared with Non-Weight-Bearing Following Osteochondral Autograft Transfer for Small Defects in Weight-Bearing Areas in the Femoral Articular Cartilage of the Knee,"Patients are routinely kept non-weight-bearing for four to eight weeks following osteochondral autograft transfer to repair cartilage defects of the medial and/or lateral femoral condyle. Therefore, the objective of this novel study was to investigate whether postoperative weight-bearing restrictions affect the outcomes of cartilage repair when an osteochondral autograft transfer system is used to repair small defects in weight-bearing areas of femoral articular cartilage.This a retrospective co",intervention,Intervention | Include: adipose-derived mesenchymal stem cells; adipose-derived MSCs; AD-MSCs; adipose tissue-derived stromal cells; adipose stromal cells | Exclude: dental pulp stem cells; induced pluripotent stem cells; embryonic stem cells,mismatch,label_error,"Osteochondral autograft transfer, not MSC therapy",fn_audit_inferred
FN_W2011790530,Jeyaraman_2020,https://openalex.org/W2011790530,Weight-Bearing Compared with Non-Weight-Bearing Following Osteochondral Autograft Transfer for Small Defects in Weight-Bearing Areas in the Femoral Articular Cartilage of the Knee,"Patients are routinely kept non-weight-bearing for four to eight weeks following osteochondral autograft transfer to repair cartilage defects of the medial and/or lateral femoral condyle. Therefore, the objective of this novel study was to investigate whether postoperative weight-bearing restrictions affect the outcomes of cartilage repair when an osteochondral autograft transfer system is used to repair small defects in weight-bearing areas of femoral articular cartilage.This a retrospective co",study_design,study_design,match,label_error,"Osteochondral autograft transfer, not MSC therapy",fn_audit_inferred
FN_W2084152520,Chou_2003,https://openalex.org/W2084152520,Long term effects of oral sustained release morphine on neuropsychological performance in patients with chronic non-cancer pain,"Morphine is increasingly used in patients with chronic non-cancer pain, but a major concern associated with chronic use relates to possible cognitive side-effects. The aim of this long-term prospective study was to evaluate the cognitive impact of oral sustained release morphine in patients with non-cancer pain. A battery of neuropsychological tests to explore attention, psychomotor speed and memory was administered. The effects of morphine on pain, quality of life, mood, subjective memory impai",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,match,genuine_fn,Oral sustained-release morphine for chronic non-cancer pain — matches PICO,fn_audit_inferred
FN_W2084152520,Chou_2003,https://openalex.org/W2084152520,Long term effects of oral sustained release morphine on neuropsychological performance in patients with chronic non-cancer pain,"Morphine is increasingly used in patients with chronic non-cancer pain, but a major concern associated with chronic use relates to possible cognitive side-effects. The aim of this long-term prospective study was to evaluate the cognitive impact of oral sustained release morphine in patients with non-cancer pain. A battery of neuropsychological tests to explore attention, psychomotor speed and memory was administered. The effects of morphine on pain, quality of life, mood, subjective memory impai",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",match,genuine_fn,Oral sustained-release morphine for chronic non-cancer pain — matches PICO,fn_audit_inferred
FN_W2084152520,Chou_2003,https://openalex.org/W2084152520,Long term effects of oral sustained release morphine on neuropsychological performance in patients with chronic non-cancer pain,"Morphine is increasingly used in patients with chronic non-cancer pain, but a major concern associated with chronic use relates to possible cognitive side-effects. The aim of this long-term prospective study was to evaluate the cognitive impact of oral sustained release morphine in patients with non-cancer pain. A battery of neuropsychological tests to explore attention, psychomotor speed and memory was administered. The effects of morphine on pain, quality of life, mood, subjective memory impai",study_design,study_design,match,genuine_fn,Oral sustained-release morphine for chronic non-cancer pain — matches PICO,fn_audit_inferred
FN_W1987205168,Muthu_2021,https://openalex.org/W1987205168,IPD without bony decompression versus conventional surgical decompression for lumbar spinal stenosis: 2-year results of a double-blind randomized controlled trial,"Interspinous process devices (IPDs) are implanted to treat patients with intermittent neurogenic claudication (INC) based on lumbar spinal stenosis. It is hypothesized that patients with lumbar spinal stenosis treated with IPD have a faster short-term recovery, an equal outcome after 2 years and less back pain compared with bony decompression.A randomized design with variable block sizes was used, with allocations stratified according to center. Allocations were stored in prepared opaque, coded ",population,Population | Include: spine surgery; spinal surgery; spinal procedure; spinal fusion; spinal decompression | Exclude: peripheral nerve surgery; cranial surgery; neurosurgery for intracranial pathology,match,genuine_fn,RCT: IPD vs decompression for lumbar stenosis — is a spine surgery RCT,fn_audit_inferred
FN_W1987205168,Muthu_2021,https://openalex.org/W1987205168,IPD without bony decompression versus conventional surgical decompression for lumbar spinal stenosis: 2-year results of a double-blind randomized controlled trial,"Interspinous process devices (IPDs) are implanted to treat patients with intermittent neurogenic claudication (INC) based on lumbar spinal stenosis. It is hypothesized that patients with lumbar spinal stenosis treated with IPD have a faster short-term recovery, an equal outcome after 2 years and less back pain compared with bony decompression.A randomized design with variable block sizes was used, with allocations stratified according to center. Allocations were stored in prepared opaque, coded ",intervention,Intervention | Include: fragility index; fragility analysis; reverse fragility index; fragility quotient; statistical fragility | Exclude: traditional power analysis; sample size calculation a priori; Bayesian analysis,match,genuine_fn,RCT: IPD vs decompression for lumbar stenosis — is a spine surgery RCT,fn_audit_inferred
FN_W1987205168,Muthu_2021,https://openalex.org/W1987205168,IPD without bony decompression versus conventional surgical decompression for lumbar spinal stenosis: 2-year results of a double-blind randomized controlled trial,"Interspinous process devices (IPDs) are implanted to treat patients with intermittent neurogenic claudication (INC) based on lumbar spinal stenosis. It is hypothesized that patients with lumbar spinal stenosis treated with IPD have a faster short-term recovery, an equal outcome after 2 years and less back pain compared with bony decompression.A randomized design with variable block sizes was used, with allocations stratified according to center. Allocations were stored in prepared opaque, coded ",study_design,study_design,match,genuine_fn,RCT: IPD vs decompression for lumbar stenosis — is a spine surgery RCT,fn_audit_inferred
FN_W2011922368,Muthu_2021,https://openalex.org/W2011922368,Comparison of artificial total disc replacement versus fusion for lumbar degenerative disc disease: a meta-analysis of randomized controlled trials,"To compare the efficacy and safety of TDR to that of the fusion for the treatment of lumbar degenerative disc disease (LDDD).Randomized controlled trials comparing TDR with any other intervention for LDDD were acquired by a comprehensive search in PubMedCentral, MEDLINE, EMBASE, BIOSIS, ClinicalTrials.gov, and the FDA trials register. Methodologic quality was assessed and relevant data were retrieved, and appropriate meta-analysis was performed. Two review authors independently selected studies,",population,Population | Include: spine surgery; spinal surgery; spinal procedure; spinal fusion; spinal decompression | Exclude: peripheral nerve surgery; cranial surgery; neurosurgery for intracranial pathology,match,label_error,"Meta-analysis of RCTs (TDR vs fusion), not an RCT itself",fn_audit_inferred
