dataset,record_id,model_id,element_key,element_group,model_match,model_evidence
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,population,population_like,,
Jeyaraman_2020,https://openalex.org/W68021579,deepseek-v3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,comparison,topic_like,False,No comparison groups mentioned in abstract
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,intervention,topic_like,False,Abstract focuses on 'microfracture alone' which appears in exclusion list under intervention
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,outcome,topic_like,True,"Mentions 'knee function improvement', 'MRI outcomes', and 'fibrocartilage fill' matching include terms like WOMAC, Lysholm, and MRI outcomes"
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,population,population_like,True,"Title mentions 'knee cartilage defects', abstract mentions 'small full-thickness cartilage lesions' which match include terms like 'cartilage defect of the knee'"
Jeyaraman_2020,https://openalex.org/W68021579,qwen3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,population,population_like,,
Jeyaraman_2020,https://openalex.org/W68021579,kimi-k2,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,population,population_like,,
Jeyaraman_2020,https://openalex.org/W68021579,llama4-maverick,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,population,population_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,deepseek-v3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,comparison,topic_like,,Title and abstract do not describe any comparison groups or control interventions
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,intervention,topic_like,,Title and abstract do not describe any intervention or treatment
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,outcome,topic_like,,Title and abstract do not report any outcome measures or results
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,population,population_like,,Title and abstract do not specify patient population or clinical condition
Jeyaraman_2020,https://openalex.org/W3007172259,qwen3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,population,population_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,kimi-k2,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,population,population_like,,
Jeyaraman_2020,https://openalex.org/W3007172259,llama4-maverick,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,population,population_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,deepseek-v3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,population,population_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,qwen3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,population,population_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,kimi-k2,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,population,population_like,,
Jeyaraman_2020,https://openalex.org/W2969413901,llama4-maverick,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,population,population_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,deepseek-v3,study_design,study_design,,
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,comparison,topic_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,intervention,topic_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,outcome,topic_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,population,population_like,,
Jeyaraman_2020,https://openalex.org/W1830000322,qwen3,study_design,study_design,,
