dataset,ranker,n_total,n_includes,auto_include_count,auto_include_tp,safety_queue_count,reachable_095,verified_work_095,queue_only_work_095,queue_prefix_095,reachable_098,verified_work_098,queue_only_work_098,queue_prefix_098,reachable_0985,verified_work_0985,queue_only_work_0985,queue_prefix_0985,reachable_099,verified_work_099,queue_only_work_099,queue_prefix_099
Donners_2021,lexical,257,15,38,11,219,True,129,91,91,True,129,91,91,True,129,91,91,True,129,91,91
Donners_2021,llm,257,15,38,11,219,True,179,141,141,True,179,141,141,True,179,141,141,True,179,141,141
Sep_2021,lexical,271,40,66,24,205,True,196,130,130,True,227,161,161,True,227,161,161,True,227,161,161
Sep_2021,llm,271,40,66,24,205,True,206,140,140,True,271,205,205,True,271,205,205,True,271,205,205
Nelson_2002,lexical,365,80,166,70,199,True,223,57,57,True,251,85,85,True,251,85,85,True,299,133,133
Nelson_2002,llm,365,80,166,70,199,True,224,58,58,True,240,74,74,True,240,74,74,True,279,113,113
van_der_Valk_2021,lexical,725,89,58,36,667,True,427,369,369,True,623,565,565,True,623,565,565,True,626,568,568
van_der_Valk_2021,llm,725,89,58,36,667,True,528,470,470,True,633,575,575,True,633,575,575,True,655,597,597
Meijboom_2021,lexical,882,37,39,7,843,True,403,364,364,True,880,841,841,True,880,841,841,True,880,841,841
Meijboom_2021,llm,882,37,39,7,843,True,499,460,460,True,572,533,533,True,572,533,533,True,572,533,533
Oud_2018,lexical,950,20,141,19,809,True,141,0,0,True,156,15,15,True,156,15,15,True,156,15,15
Oud_2018,llm,950,20,141,19,809,True,141,0,0,True,282,141,141,True,282,141,141,True,282,141,141
Menon_2022,lexical,975,74,83,49,892,True,679,596,596,True,915,832,832,True,915,832,832,True,922,839,839
Menon_2022,llm,975,74,83,49,892,True,378,295,295,True,804,721,721,True,804,721,721,True,831,748,748
Jeyaraman_2020,lexical,1173,96,69,24,1104,True,896,827,827,True,1066,997,997,True,1066,997,997,True,1095,1026,1026
Jeyaraman_2020,llm,1173,96,69,24,1104,True,745,676,676,True,841,772,772,True,841,772,772,True,871,802,802
Chou_2004,lexical,1622,9,11,2,1611,True,1174,1163,1163,True,1174,1163,1163,True,1174,1163,1163,True,1174,1163,1163
Chou_2004,llm,1622,9,11,2,1611,True,849,838,838,True,849,838,838,True,849,838,838,True,849,838,838
Chou_2003,lexical,1906,15,18,8,1888,True,1741,1723,1723,True,1741,1723,1723,True,1741,1723,1723,True,1741,1723,1723
Chou_2003,llm,1906,15,18,8,1888,True,1453,1435,1435,True,1453,1435,1435,True,1453,1435,1435,True,1453,1435,1435
van_der_Waal_2022,lexical,1970,33,583,27,1387,True,630,47,47,True,853,270,270,True,853,270,270,True,853,270,270
van_der_Waal_2022,llm,1970,33,583,27,1387,True,883,300,300,True,977,394,394,True,977,394,394,True,977,394,394
Smid_2020,lexical,2622,27,181,24,2441,True,699,518,518,True,1335,1154,1154,True,1335,1154,1154,True,1335,1154,1154
Smid_2020,llm,2622,27,181,24,2441,True,314,133,133,True,332,151,151,True,332,151,151,True,332,151,151
Muthu_2021,lexical,2719,336,14,6,2705,True,2289,2275,2275,True,2524,2510,2510,True,2527,2513,2513,True,2592,2578,2578
Muthu_2021,llm,2719,336,14,6,2705,True,2180,2166,2166,True,2448,2434,2434,True,2471,2457,2457,True,2566,2552,2552
Appenzeller-Herzog_2019,lexical,2868,26,172,12,2696,True,1395,1223,1223,True,1888,1716,1716,True,1888,1716,1716,True,1888,1716,1716
Appenzeller-Herzog_2019,llm,2868,26,172,12,2696,True,1608,1436,1436,True,2544,2372,2372,True,2544,2372,2372,True,2544,2372,2372
Wolters_2018,lexical,4272,19,21,7,4251,True,2830,2809,2809,True,2830,2809,2809,True,2830,2809,2809,True,2830,2809,2809
Wolters_2018,llm,4272,19,21,7,4251,True,1885,1864,1864,True,1885,1864,1864,True,1885,1864,1864,True,1885,1864,1864
van_de_Schoot_2018,lexical,4538,38,2,0,4536,True,2246,2244,2244,True,2517,2515,2515,True,2517,2515,2515,True,2517,2515,2515
van_de_Schoot_2018,llm,4538,38,2,0,4536,True,4383,4381,4381,True,4514,4512,4512,True,4514,4512,4512,True,4514,4512,4512
Bos_2018,lexical,4878,10,32,8,4846,True,1471,1439,1439,True,1471,1439,1439,True,1471,1439,1439,True,1471,1439,1439
Bos_2018,llm,4878,10,32,8,4846,True,384,352,352,True,384,352,352,True,384,352,352,True,384,352,352
Moran_2021,lexical,5199,111,21,0,5178,True,5111,5090,5090,True,5168,5147,5147,True,5172,5151,5151,True,5172,5151,5151
Moran_2021,llm,5199,111,21,0,5178,True,5058,5037,5037,True,5152,5131,5131,True,5153,5132,5132,True,5153,5132,5132
Leenaars_2019,lexical,5767,17,10,0,5757,True,137,127,127,True,137,127,127,True,137,127,127,True,137,127,127
Leenaars_2019,llm,5767,17,10,0,5757,True,4849,4839,4839,True,4849,4839,4839,True,4849,4839,4839,True,4849,4839,4839
Radjenovic_2013,lexical,5935,48,807,48,5128,True,807,0,0,True,807,0,0,True,807,0,0,True,807,0,0
Radjenovic_2013,llm,5935,48,807,48,5128,True,807,0,0,True,807,0,0,True,807,0,0,True,807,0,0
Leenaars_2020,lexical,7169,582,947,280,6222,True,3898,2951,2951,True,4943,3996,3996,True,5165,4218,4218,True,5595,4648,4648
Leenaars_2020,llm,7169,582,947,280,6222,True,3149,2202,2202,True,4277,3330,3330,True,4448,3501,3501,True,4683,3736,3736
Wassenaar_2017,lexical,7657,111,33,16,7624,True,7319,7286,7286,True,7575,7542,7542,True,7600,7567,7567,True,7600,7567,7567
Wassenaar_2017,llm,7657,111,33,16,7624,True,7031,6998,6998,True,7213,7180,7180,True,7231,7198,7198,True,7231,7198,7198
Hall_2012,lexical,8793,104,208,96,8585,True,371,163,163,True,3391,3183,3183,True,4538,4330,4330,True,4538,4330,4330
Hall_2012,llm,8793,104,208,96,8585,True,637,429,429,True,1034,826,826,True,1974,1766,1766,True,1974,1766,1766
van_Dis_2020,lexical,9114,72,326,33,8788,True,3842,3516,3516,True,4250,3924,3924,True,4250,3924,3924,True,6475,6149,6149
van_Dis_2020,llm,9114,72,326,33,8788,True,3492,3166,3166,True,8351,8025,8025,True,8351,8025,8025,True,8662,8336,8336
Brouwer_2019,lexical,38076,62,728,36,37348,True,6829,6101,6101,True,10415,9687,9687,True,11510,10782,10782,True,11510,10782,10782
Brouwer_2019,llm,38076,62,728,36,37348,True,10979,10251,10251,True,28623,27895,27895,True,30288,29560,29560,True,30288,29560,29560
Walker_2018,lexical,48153,759,506,187,47647,True,42049,41543,41543,True,45314,44808,44808,True,46563,46057,46057,True,47271,46765,46765
Walker_2018,llm,48153,759,506,187,47647,True,37777,37271,37271,True,38824,38318,38318,True,38944,38438,38438,True,39171,38665,38665
Donners_2021,fusion,257,15,38,11,219,True,181,143,143,True,181,143,143,True,181,143,143,True,181,143,143
Sep_2021,fusion,271,40,66,24,205,True,226,160,160,True,270,204,204,True,270,204,204,True,270,204,204
Nelson_2002,fusion,365,80,166,70,199,True,229,63,63,True,268,102,102,True,268,102,102,True,309,143,143
van_der_Valk_2021,fusion,725,89,58,36,667,True,434,376,376,True,518,460,460,True,518,460,460,True,719,661,661
Meijboom_2021,fusion,882,37,39,7,843,True,518,479,479,True,631,592,592,True,631,592,592,True,631,592,592
Oud_2018,fusion,950,20,141,19,809,True,141,0,0,True,279,138,138,True,279,138,138,True,279,138,138
Menon_2022,fusion,975,74,83,49,892,True,571,488,488,True,662,579,579,True,662,579,579,True,693,610,610
Jeyaraman_2020,fusion,1173,96,69,24,1104,True,989,920,920,True,1098,1029,1029,True,1098,1029,1029,True,1147,1078,1078
Chou_2004,fusion,1622,9,11,2,1611,True,744,733,733,True,744,733,733,True,744,733,733,True,744,733,733
Chou_2003,fusion,1906,15,18,8,1888,True,1518,1500,1500,True,1518,1500,1500,True,1518,1500,1500,True,1518,1500,1500
van_der_Waal_2022,fusion,1970,33,583,27,1387,True,694,111,111,True,761,178,178,True,761,178,178,True,761,178,178
Smid_2020,fusion,2622,27,181,24,2441,True,366,185,185,True,412,231,231,True,412,231,231,True,412,231,231
Muthu_2021,fusion,2719,336,14,6,2705,True,2310,2296,2296,True,2530,2516,2516,True,2542,2528,2528,True,2614,2600,2600
Appenzeller-Herzog_2019,fusion,2868,26,172,12,2696,True,1277,1105,1105,True,2603,2431,2431,True,2603,2431,2431,True,2603,2431,2431
