dataset,record_id,record_id_suffix,title,abstract,framework,a13b_decision,a13b_tier,a13b_p_include,a13b_ecs_final,a13b_confidence,verdict,reason
Brouwer_2019,https://openalex.org/W2407171739,W2407171739,The history of nosology and the rise of the <i>Diagnostic and Statistical Manual of Mental Disorders</i>,"The current Diagnostic and Statistical Manual of Mental Disorders (DSM)-5 arose from a tradition filled with haphazard science and politically driven choices. The nosology of modern psychiatry began with the German classifiers of the late 19th century, especially Emil Kraepelin. Psychoanalysis then blotted out the classificatory vision for the next half-century, and most of this European psychopathological science failed to cross the Atlantic. The DSM series was a homegrown American product, beginning with Medical 203 in 1945, then guided by psychoanalytic insights through DSM-I in 1952 and DSM-II in 1968. In 1980, DSM-III represented a massive ""turning of the page"" in nosology, and it had the effect of steering psychoanalysis toward the exit in psychiatry and the beginning of a reconciliation of psychiatry with the rest of medicine. With the advent of DSM-5, however, questions are starting to be asked about whether this massive venture is on the right track. El actual DSM-5 (Manual Diagnóstico y Estadístico) surgió de una tradición llena de ciencia casual y opciones impulsadas políticamente. La nosología de la moderna psiquiatría comenzó con los clasificadores alemanes de finales del siglo XIX, en especial Emil Kraepelin. Posteriormente el psicoanálisis empañó la visión clasificatoria por el siguiente medio siglo, y la mayor parte de esta ciencia psicopatológica europea no logró cruzar el Atlántico. La serie de los DSM es un producto americano hecho en casa, que comenzó con Medical 203 en 1945, y luego fue orientado por concepciones psicoanalíticas a través del DSM-I en 1952 y el DSM-II en 1968. En 1980 el DSM-III representó una masiva “vuelta de página” en la nosología, encauzó el psicoanálisis hacia la salida de la psiquiatría y comenzó con la reconciliación de la psiquiatría con el resto de la medicina. Sin embargo; con la aparición del DSM-5 están surgiendo preguntas para ser respondidas acerca de si esta gran iniciativa está por el camino correcto.L'actuel DSM-5 (Manuel diagnostique et statistique) provient d'une tradition nourrie de science peu méthodique et de choix politiques. La nosologie de la psychiatrie moderne a commencé avec les classificateurs allemands du XIXe siècle, en particulier Emile Kraepelin. Pendant la première moitié du siècle suivant, la psychanalyse a ensuite effacé la vision classificatrice et la plupart de cette science psychopathologique européenne n'a pas réussi à traverser l'Atlantique. La série des DSM est un produit américain autochtone, commençant avec le Medical 203 en 1945, puis guidée par des points de vue psychanalytiques du DSM-I en 1952 au DSM-II en 1968. En 1980, le DSM-III a permis de « tourner la page » complètement en nosologie, en ayant pour effet de guider la psychanalyse vers la sortie en psychiatrie et de débuter une réconciliation entre la psychiatrie et le reste de la médecine. Cependant, l'avènement du DSM-5 remet en question la pertinence de la voie de cette gigantesque entreprise.",pif,INCLUDE,3,0.01074614898649481,0.0433624439641402,0.9142999791469575,genuine_fp,"The record is a historical review of psychiatric nosology and the DSM, not a prospective study on psychological constructs and depressive relapse. It does not meet the study design criteria (requires prospective/longitudinal) or address the specified exposure, outcome, or population."
Smid_2020,https://openalex.org/W2070131919,W2070131919,The Political Economy of Gender: Explaining Cross-National Variation in the Gender Division of Labor and the Gender Voting Gap,"Mainstream political economy has tended to treat the family as a unit when examining the distributional consequences of labor market institutions and of public policy. In a world with high divorce rates, we argue that this simplification is more likely to obscure than to instruct. We find that labor market opportunities for women, which vary systematically with the position of countries in the international division of labor and with the structure of the welfare state, affect women's bargaining power within the family and as a result, can explain much of the cross country variation in the gender division of labor as well as the gender gap in political preferences.",pico,INCLUDE,2,0.014081596392717648,0.5520447568369062,0.8932258082590481,genuine_fp,"The abstract describes a political economy study on gender division of labor and voting gaps, not a methodological comparison of SEM estimation methods. It does not mention SEM, Bayesian/frequentist estimation, or performance metrics like parameter bias, model convergence, or coverage."
Jeyaraman_2020,https://openalex.org/W2594826387,W2594826387,One-Step Treatment for Patellar Cartilage Defects With a Cell-Free Osteochondral Scaffold: A Prospective Clinical and MRI Evaluation,"Background: The treatment of symptomatic cartilage defects of the patella is particularly challenging, and no gold standard is currently available. Purpose: To evaluate the clinical results of a biphasic cell-free collagen-hydroxyapatite scaffold and to evaluate osteochondral tissue regeneration with magnetic resonance imaging (MRI). Study Design: Case series; Level of evidence, 4. Methods: Thirty-four patients (18 men and 16 women; mean ± SD: age, 30.0 ± 10 years) were treated by scaffold implantation for knee chondral or osteochondral lesions of the patella (area, 2.1 ± 1 cm 2 ). The clinical evaluation was performed prospectively at 12 and 24 months via the IKDC (International Knee Documentation Committee; objective and subjective) and Tegner scores. MRI evaluation was performed at both follow-ups in 18 lesions through the MOCART score (magnetic resonance observation of cartilage repair tissue) and specific subchondral bone parameters. Results: A statistically significant improvement in all the scores was observed at 12- and 24-month follow-up as compared with the basal evaluation. The IKDC subjective score improved from 39.5 ± 14.5 to 61.9 ± 14.5 at 12 months ( P &gt; .0005) with a further increase to 67.6 ± 17.4 at 24 months of follow-up (12-24 months, P = .020). The MRI evaluation showed a stable value of the MOCART score between 12 and 24 months, with a complete filling of the cartilage in 87.0% of the lesions, complete integration of the graft in 95.7%, and intact repair tissue surface in 69.6% at final follow-up. The presence of osteophytes or more extensive bony overgrowth was documented in 47.8% of the patients of this series, but no correlation was found between MRI findings and clinical outcome. Conclusion: The implantation of a cell-free collagen-hydroxyapatite osteochondral scaffold provided a clinical improvement at short-term follow-up for the treatment of patellar cartilage defects. Women had lower outcomes, and the need for realignment procedures led to a slower recovery. MRI evaluation showed some abnormal findings with the presence of bone overgrowth, but no correlation has been found with the clinical outcome.",pico,INCLUDE,1,0.020210414738312022,0.1379729661461215,0.857379663636237,genuine_fp,"Study design is a case series (Level of evidence 4), which is excluded by the criteria requiring RCTs or comparative studies. The intervention is a cell-free scaffold, not MSCs, which is also excluded."
Brouwer_2019,https://openalex.org/W2563687716,W2563687716,Mindfulness as a coping strategy for bias-based school victimization among Latina/o sexual minority youth.,"This study examined whether mindfulness strategies (e.g., acting non-judgmentally with awareness and attention to present events) were effective in mitigating the associations among school-based victimization related to ethnicity and sexual orientation, well-being (i.e., depressive symptoms and self-esteem), and grade-point average (GPA). The U.S.-based sample included 236 Latina/o sexual minority students, ranging in age from 14 to 24 years (47% were enrolled in secondary schools, 53% in postsecondary schools). Results from structural equation modeling revealed that ethnicity-based school victimization was negatively associated with GPA but not well-being. However, sexual orientation-based victimization was not associated with well-being or GPA. Mindfulness was positively associated with well-being but not GPA. High levels of mindfulness coping were protective when the stressor was sexual orientation-based victimization but not ethnicity-based school victimization. These findings contribute to a growing literature documenting the unique school barriers experienced by Latina/o sexual minority youth and highlight the promising utility of mindfulness-based intervention strategies for coping with minority stress.",pif,INCLUDE,3,0.01074614898649481,0.2438449420228684,0.9609551637132038,genuine_fp,"Population mismatch: study includes youth aged 14-24, while criteria require adults 18+; also, study design is cross-sectional, while criteria require prospective/longitudinal studies."
Leenaars_2020,https://openalex.org/W2137423042,W2137423042,Early disease control by low-dose prednisone comedication may affect the quality of remission in patients with early rheumatoid arthritis,"In order to identify rate and stability of remission induced by low-dose prednisone comedication in early rheumatoid arthritis (RA), we evaluated patients with early RA (<1 year) who were randomized to receive (P) or not (non-P) low-dose prednisone in association with step-up disease-modifying antirheumatic drug therapy over 2 years. Prevalence and duration of clinical remission were evaluated in the first and second year. Each treatment group included 105 patients; no significant differences were found at baseline. During the first year, P patients achieved higher rates of clinical remission with a time-averaged odds ratio (OR) of 1.965 (CI 95% 1.214-3.182, P= 0.006). Moreover, they showed a higher probability of sustained remission during the second year (OR 4.480, CI 95% 1.354-14.817, P= 0.014). In conclusion, we found as in early RA low-dose prednisone comedication is associated with higher rate of clinical remission, earlier disease activity control and more stable remission over time.",pico,INCLUDE,1,0.020210924190936473,0.47392716336789764,0.8573768110670388,genuine_fp,"Intervention is low-dose prednisone comedication, not methotrexate. The abstract does not mention methotrexate as the intervention, which is required by the inclusion criteria."
Leenaars_2019,https://openalex.org/W2325526587,W2325526587,"CI-1007, a dopamine partial agonist and potential antipsychotic agent. I. Neurochemical effects.","The receptor binding and biochemical effects of the putative dopamine (DA) partial agonist CI-1007 ([R(+)-1,2,3,6-tetrahydro-4-phenyl- 1-[(3-phenyl-3-cyclohexen-1-yl)methyl]pyridine] maleate) and potential antipsychotic were evaluated with a variety of biochemical methods. In receptor binding studies, CI-1007 bound to rat striatal DA receptors exhibiting a Ki of 3 nM as assessed by inhibition of [3H]N-propylnorapomorphine binding. CI-1007 also exhibited high affinity for cloned human D2L (Ki = 25.5 nM) and D3 (Ki = 16.6 nM) receptors with less affinity for D4.2 receptors (Ki = 90.9 nM). The affinity for serotonin-1A (5-HT-1A), alpha-2 adrenergic and 5-HT-2 receptors was moderate (submicromolar range) and slight or negligible for alpha-1, DA D1 and various other receptors. Unlike dopamine, the inhibition of [3H]spiperone binding was monophasic for CI-1007 and only slightly affected by the addition of Gpp-(NH)p. In vitro CI-1007 antagonized the forskolin-induced increases in cyclic AMP levels in GH4C1 cells expressing the human D2L receptor, having an intrinsic activity of 53% of that seen with the full agonist quinpirole. In vivo CI-1007 antagonized the gamma-butyrolactone (GBL)-induced accumulation of L-3,4-dihydroxyphenylalanine in striatum and mesolimbic regions of rat brain, causing a maximal 64% reversal in striatum, consistent with a partial agonist profile. In microdialysis studies it decreased DA overflow in both striatum and nucleus accumbens, indicating decreased release of DA. CI-1007 also reduced brain DA synthesis (DOPA accumulation), metabolism (DOPAC and HVA) and utilization (after tyrosine hydroxylase inhibition with alpha-methyl-p-tyrosine). CI-1007 did not affect striatal acetylcholine levels indicating lack of potent postsynaptic DA actions. CI-1007 seemed to be selective for DA neurons as it did not alter rat brain norepinephrine (NE) synthesis in the NE-enriched brainstem or NE utilization in the mesolimbic region. In addition, it did not affect in general 5-HT synthesis and metabolism in striatum and mesolimbic regions. These neurochemical results demonstrate that CI-1007 is a selective potent brain dopamine partial agonist with limited agonist activity at postsynaptic DA receptors.",peo,INCLUDE,2,0.01404678322210887,0.026591479484724945,0.8934392615849944,genuine_fp,"Excluded due to Population: Abstract specifies 'rat striatal DA receptors', 'rat brain', and 'rat brainstem', which violates the 'Humans' requirement and matches the 'Animals' exclusion criterion."
Leenaars_2019,https://openalex.org/W2073113909,W2073113909,Tonic GABA-ergic modulation of striatal dopamine release studied by in vivo microdialysis in the freely moving rat,"GABAA and GABAB receptor agonists and antagonists were administered locally in the striatum of intact and kainic acid lesioned rats. (+/-)-Baclofen, a GABAB receptor agonist, significantly decreased the level of extracellular dopamine in the striatum of intact rats. (+/-)-Phaclofen, a GABAB receptor antagonist, increased the level of extracellular dopamine in the striatum of intact rats and to a lesser extent in the striatum after kainic acid lesion. Pregnanolone (5 beta-pregnan-3 alpha-ol-20-one), a positive allosteric modulator of the GABAA receptor, significantly decreased the level of extracellular dopamine in intact rats. (-)-Bicuculline, a GABAB receptor antagonist, increased the level of extracellular dopamine in the striatum of intact rats, but failed to increase the level of extracellular dopamine after kainic acid lesion. The release of extracellular dopamine, due to infusion of phaclofen or bicuculline, was totally suppressed by tetrodotoxin. These results support a direct influence of GABA on the dopaminergic terminals via presynaptic GABAB receptors, while the effects via the GABAA receptor seem to be postsynaptic and mediated by striatal interneurons or the striatonigral feedback loop.",peo,INCLUDE,2,0.01404678322210887,0.07071067811865477,0.9346749198119942,genuine_fp,Excluded due to Population: 'freely moving rat' violates 'Humans' requirement. Also excluded due to Outcome: 'dopamine' is in the exclusion list for outcomes.
Muthu_2021,https://openalex.org/W1997931271,W1997931271,Autograft versus interbody fusion cage without plate fixation in the cervical spine: a randomized clinical study using radiostereometry,"A primary object with a fusion cage is avoidance of graft collapse with subsequent subsidence and malalignment of the cervical spine that is observed after bone grafting alone. No randomized studies exist that demonstrate the difference between these two methods in terms of graft subsidence and angulation of the fused segment. The size of the study population was calculated to be 24 patients to reach a significant difference at the 95% CI level. Patients with one-level cervical radiculopathy scheduled for surgery were randomized to anterior discectomy and fusion (ACDF) with autograft or to fusion cage, both without plate fixation. Tantalum markers were inserted in the two adjacent vertebrae at the end of surgery. Radiostereometry was performed immediately postoperatively and at regular intervals for 2 years. Questionnaires were used to evaluate the clinical outcome and an unbiased observer graded the outcome after 2 years. No significant differences were found between the two methods after 2 years in regard of narrowing of the disc space (mean 1.7 and 1.4 mm, respectively) or deformation of the fused segment into flexion (mean 7.7 degrees and 4.6 degrees , respectively). Patients in the cage group had a significantly better clinical outcome. The findings of subsidence and flexion deformation of the fused segment after 2 years seem to be of no clinical importance after one-level cervical disc surgery. However, in multi-level surgery using the same methods, an additive effect of the deformations of the fused segments may affect the clinical outcome.",pico,INCLUDE,2,0.016342832658970276,0.19932353156386887,0.8796180482071607,genuine_fp,The study does not mention fragility index analysis (Intervention criterion) and focuses on clinical outcomes and radiographic measurements without dichotomizing outcomes for fragility assessment (Outcome criterion).
Brouwer_2019,https://openalex.org/W1984062641,W1984062641,Cognitive-affective assets and vulnerabilities: Two factors influencing adaptation to Fibromyalgia,"This study set to explore whether variables related to cognitive-affective assets would complement measures of psychological vulnerability for the prediction of physical functioning and pain tolerance in 138 women with Fibromyalgia Syndrome (FMS). Depression, anxiety, stress response and negative affect were defined a priori as measures of vulnerability, while pain self-efficacy, internality and positive affect were identified as assets. Confirmatory factor analyses supported the validity of the hypothesised two-factor structure in FMS. A structural equation model (SEM) revealed that the two factors were associated with different outcomes in FMS as predictors. Pain and associated symptoms appeared related to psychological vulnerabilities in FMS patients, whereas physical functioning and tolerance for pain were better predicted by assets. These results are discussed with reference to current theoretical models concerning the role of psychological factors in FMS, and intervention methods designed to improve quality of life and reduce pain in FMS patients.",pif,INCLUDE,3,0.01074614898649481,0.6484197773255048,0.9142999791469575,genuine_fp,"Population mismatch: Study focuses on women with Fibromyalgia Syndrome (FMS), not adults with a history of major depressive disorder as required by the Population criteria."
Smid_2020,https://openalex.org/W2042432068,W2042432068,Sciatic inflammatory neuritis (SIN): Behavioral allodynia is paralleled by peri‐sciatic proinflammatory cytokine and superoxide production,"We have recently developed a model of sciatic inflammatory neuritis (SIN) to assess how immune activation near peripheral nerves influences somatosensory processing. Administration of zymosan (yeast cell walls) around a single sciatic nerve produces dose-dependent low-threshold mechanical allodynia without thermal hyperalgesia. Low (4 microg) doses produce both territorial and extraterritorial allodynia restricted to the injected hindleg. In contrast, higher (40 microg) doses produce territorial and extraterritorial allodynias of both hindlegs, an effect not accounted for by systemic spread of the zymosan. The aim of these experiments was to determine whether these behavioral allodynias were correlated with immunological and/or anatomical changes in or around the sciatic nerve. These experiments reveal that zymosan-induced bilateral allodynia was associated with the following: (a) increased release of both interleukin-1beta and tumor necrosis factor-alpha from peri-sciatic immune cells; (b) increased release of reactive oxygen species from perisciatic immune cells; (c) no change in circulating levels of proinflammatory cytokine; (d) no apparent zymosan-induced influx of immune cells into the sciatic nerve from the endoneurial blood vessels; (e) mild edema of the sciatic, which was predominantly restricted to superficial regions closest to the peri-sciatic immune cells; and (f) no anatomic evidence of changes in either the ipsilateral saphenous nerve or contralateral sciatic nerve that could account for the appearance of extraterritorial or contralateral (""mirror"") allodynia, respectively. No reliable differences were found when the low-dose zymosan was compared with vehicle controls. Taken together, these data suggest that substances released by peri-sciatic immune cells may induce changes in the sciatic nerve, leading to the appearance of bilateral allodynia.",pico,INCLUDE,2,0.014080318019483729,0.053472440002669715,0.8932336442419349,genuine_fp,"The study is an animal experiment on sciatic inflammatory neuritis, not a methodological or applied research study using structural equation modeling (SEM) as required by the inclusion criteria."
