dataset,record_id,true_label,p_include,b1_lexical_score,openalex_found,openalex_source,work_type,publication_year,metadata_score,citation_oracle_seed_score,citation_related_seed_overlap,citation_referenced_seed_overlap,citation_count_score,referenced_works_count,related_works_count,metadata_term_count
Donners_2021,https://openalex.org/W3016428066,1,0.0010962048447103099,0.06826217481044076,True,cache,letter,2020,-0.021757657292030316,4,0,4,5.0,5,10,108
Donners_2021,https://openalex.org/W2890442696,1,0.001096243648917699,0.16877965203272338,True,cache,article,2018,0.057889283797803004,5,0,5,35.0,30,10,164
Donners_2021,https://openalex.org/W2278365462,1,0.0010960806804624097,0.21955731519135563,True,cache,article,2015,0.03948757238576196,0,0,0,254.0,29,10,213
Donners_2021,https://openalex.org/W3028455363,1,0.0010962669321004305,0.18438032827386733,True,cache,article,2020,-0.024181955117144133,9,0,9,10.0,25,10,194
Donners_2021,https://openalex.org/W2906655433,0,0.0010954988477106442,0.06001298076263731,True,cache,article,2018,0.0009945882850960416,0,0,0,1.0,0,10,21
Donners_2021,https://openalex.org/W2610701591,0,0.003591184344015368,0.047832606582106856,True,cache,article,2017,0.019778276027455396,0,0,0,39.0,43,10,45
Donners_2021,https://openalex.org/W2765359511,0,0.013364182788756665,0.10534918591571399,True,cache,article,2017,0.0010587309904448033,0,0,0,0.0,0,10,47
Donners_2021,https://openalex.org/W2988935613,0,0.003591184344015368,0.043646270244276905,True,cache,review,2019,-0.020234762088754424,3,0,3,90.0,174,10,207
Donners_2021,https://openalex.org/W2986546258,0,0.0010961505211239417,0.08087023024989838,True,cache,article,2019,0.010505639796257647,0,0,0,13.0,0,10,23
Donners_2021,https://openalex.org/W3037252784,0,0.0010962669321004305,0.1132591996025346,True,cache,review,2020,-0.026751013785548394,4,0,4,28.0,111,10,364
Donners_2021,https://openalex.org/W2011766387,0,0.001096243648917699,0.1703723729620224,True,cache,article,2013,0.01846048847326069,0,0,0,319.0,51,10,115
Donners_2021,https://openalex.org/W2940425658,0,0.003591184344015368,0.045657422920752484,True,cache,article,2019,-0.007554354267466021,2,0,2,46.0,20,10,63
