dataset,record_id,record_id_suffix,title,abstract,framework,a13b_decision,a13b_tier,a13b_p_include,a13b_ecs_final,a13b_confidence,verdict,reason
Cohen_Statins,pubmed:9377592,pubmed:9377592,Pravastatin and lovastatin in cerebrospinal fluid.,,pico,INCLUDE,2,0.015197721065595252,1.0,0.8864475305982296,genuine_fp,"The title 'Pravastatin and lovastatin in cerebrospinal fluid' suggests a pharmacokinetic or mechanistic study, not a clinical trial evaluating cardiovascular outcomes or lipid levels in the target population. It does not meet the study design criteria (e.g., RCT) or outcome criteria (e.g., cardiovascular events, lipid changes) required for inclusion."
Cohen_AtypicalAntipsychotics,pubmed:12131603,pubmed:12131603,Clozapine-treated subjects with treatment-resistant schizophrenia: a systematic review of experimental and observational studies.,"Randomized clinical trials have limitations because they focus on small samples of highly selected patients. Observational studies, which follow large cohorts of typical patients receiving pharmacological treatments, should overcome some of these trial limitations and provide information that cannot be generated with clinical trials. The present study aimed to compare experimental and observational studies of clozapine-treated subjects with treatment-resistant schizophrenia. A systematic review of experimental and observational studies evaluating clozapine-treated subjects in treatment-resistant schizophrenia was carried out. We identified 50 studies that met the inclusion criteria. Less than one-third of clinical trials enrolled more than 50 patients compared to 44% of prospective and nearly 90% of retrospective studies. In addition, 78% of prospective and 89% of retrospective observational studies lasted more than 12 weeks, while the majority of trials lasted less than 8 weeks. Most clinical trials defined treatment-resistant schizophrenia according to Kane's criteria, while the majority of observational studies adopted implicit criteria. In comparison with clinical trials, observational studies provided a higher weighted mean rate of clozapine-responders and a lower weighted mean rate of clozapine-dropouts. This literature survey suggests that the role of observational studies in the evaluation of medicines should be reconsidered. A new generation of observational studies should be developed to provide evidence on patient outcome in typical settings and under real-world circumstances, and on variables which may affect outcome.",pico,INCLUDE,1,0.026346678062658415,1.0,0.9250186991242008,genuine_fp,"Study design: The record is a systematic review (SR) of clozapine studies. The criteria exclude SRs unless they provide head-to-head data. This SR compares study designs (experimental vs. observational) and their outcomes, not direct drug comparisons. It does not meet the 'head-to-head data' requirement for SR inclusion."
Cohen_ACEInhibitors,pubmed:12531578,pubmed:12531578,Combination treatment of angiotensin-II receptor blocker and angiotensin-converting-enzyme inhibitor in non-diabetic renal disease (COOPERATE): a randomised controlled trial.,"BACKGROUND: Present angiotensin-converting-enzyme inhibitor treatment fails to prevent progression of non-diabetic renal disease. We aimed to assess the efficacy and safety of combined treatment of angiotensin-converting-enzyme inhibitor and angiotensin-II receptor blocker, and monotherapy of each drug at its maximum dose, in patients with non-diabetic renal disease. METHODS: 336 patients with non-diabetic renal disease were enrolled from one renal outpatient department in Japan. After screening and an 18-week run-in period, 263 patients were randomly assigned angiotensin-II receptor blocker (losartan, 100 mg daily), angiotensin-converting-enzyme inhibitor (trandolapril, 3 mg daily), or a combination of both drugs at equivalent doses. Survival analysis was done to compare the effects of each regimen on the combined primary endpoint of time to doubling of serum creatinine concentration or end-stage renal disease. Analysis was by intention to treat. FINDINGS: Seven patients discontinued or were otherwise lost to follow-up. Ten (11%) of 85 patients on combination treatment reached the combined primary endpoint compared with 20 (23%) of 85 on trandolapril alone (hazard ratio 0.38, 95% CI 0.18-0.63, p=0.018) and 20 (23%) of 86 on losartan alone (0.40, 0.17-0.69, p=0.016). Covariates affecting renal survival were combination treatment (hazard ratio 0.38, 95% CI 0.18-0.63, p=0.011), age (1.30, 1.03-2.29, p=0.009), baseline renal function (1.80, 1.02-2.99, p=0.021), change in daily urinary protein excretion rate (0.58, 0.24-0.88, p=0.022), use of diuretics (0.80, 0.30-0.94, p=0.043), and antiproteinuric response to trandolapril (0.81, 0.21-0.91, p=0.039). Frequency of side-effects with combination treatment was the same as with trandolapril alone. INTERPRETATION: Combination treatment safely retards progression of non-diabetic renal disease compared with monotherapy. However, since some patients reached the combined primary endpoint on combined treatment, further strategies for complete management of progressive non-diabetic renal disease need to be researched.",pico,INCLUDE,1,0.03634128021178665,0.8857675191023606,0.7747420692708946,genuine_fp,"Population mismatch: Study includes 'non-diabetic renal disease' which is not among the specified populations (essential hypertension, chronic heart failure, post-MI, diabetic nephropathy, CKD with proteinuria)."
Cohen_Estrogens,pubmed:11486242,pubmed:11486242,"Anti-ischemic action of estrogen-progestogen continuous combined hormone replacement therapy in postmenopausal women with established angina pectoris: a randomized, placebo-controlled, double-blind, parallel-group trial.","The benefit of treating postmenopausal women with established cardiovascular disease with combined estrogen-progestogen hormone replacement therapy (HRT) is controversial. This study investigated the effect of treatment with estradiol and norethisterone acetate on exercise tolerance and on the frequency and severity of ischemic attacks in postmenopausal women with stable angina pectoris. A total of 74 Chinese women were recruited for this 16-week double-blind, placebo-controlled trial. They were randomly allocated into two groups; one group received placebo/placebo/placebo and the other group received placebo/estrogen-progestogen/placebo. Estrogen-progestogen continuous combined HRT increased both time to 1-mm ST depression (99.1 s, p < 0.05) compared with a mean decrease of 22.9 s with placebo (p < 0.05), and total exercise duration also showed a significant increase (32.7 s, p < 0.05) after treatment compared with placebo (2.5 s, p < 0.05). In addition, the total number of ischemic events/24 h during ambulatory electrocardiographic monitoring decreased by 0.82 events after treatment (p < 0.05) compared with an increase in the placebo group (0.94), a highly significant difference (p = 0.006). These results suggest that the administration of this particular combined hormone replacement preparation may have a beneficial effect on myocardial ischemia in postmenopausal women with established coronary disease.",pico,INCLUDE,2,0.019287714581801504,0.8857675191023606,1.0,genuine_fp,"Outcome mismatch: The study focuses on cardiovascular outcomes (exercise tolerance, ischemic attacks) which are excluded per criteria, not the required menopausal symptoms or bone density outcomes."
Cohen_CalciumChannelBlockers,pubmed:12135309,pubmed:12135309,Differential effects of a long-acting angiotensin converting enzyme inhibitor (temocapril) and a long-acting calcium antagonist (amlodipine) on ventricular ectopic beats in older hypertensive patients.,"We studied differences in the effects of a long-acting angiotensin-converting enzyme (ACE) inhibitor (temocapril) and a long-acting calcium channel blocker (amlodipine) on ventricular ectopic beats (VEB) in relation to sympathetic nerve activity in 46 patients with essential hypertension. We performed 24-h Holter electrocardiography and ambulatory blood pressure (BP) monitoring simultaneously, and examined blood samples during the baseline, temocapril and amlodipine treatment periods. The ambulatory BP was lower in the amlodipine period than in the temocapril period. However, the number of VEB was significantly increased in the amlodipine period compared to that in the baseline period (11.9 vs. 7.4/day, p<0.05). In the temocapril period, the number of VEB was not significantly increased compared to that in the baseline period (8.6 vs. 7.4/day, p=0.30). Ambulatory heart rate (HR) was significantly increased in the amlodipine period compared to that in the baseline period (24-h HR: 70 vs. 66 bpm, p<0.001; daytime HR: 75 vs. 71 bpm, p<0.001; nocturnal HR: 60 vs. 58 bpm, p<0.05). Plasma norepinephrine (NE) also was significantly increased in the amlodipine period compared to that in the baseline period (457 vs. 369 pg/ml, p<0.001). However, when patients receiving amlodipine were divided into a high dose group (8.6 +/- 1.2 mg/day) and a low dose group (4.6 +/- 1.2 mg/day), increases in HR and plasma NE levels were found only in the high dose group. These results indicate that amlodipine is effective at lowering BP in older hypertensives, although it may increase VEB, especially when given at a high dose.",pico,INCLUDE,1,0.025474470877102428,0.8857675191023606,0.8288379206169904,genuine_fp,"Study population includes hypertensive patients, but the primary outcome (ventricular ectopic beats) is a ventricular arrhythmia, which is excluded per Population criteria. The study does not focus on the specified conditions (angina, supraventricular arrhythmia, systolic dysfunction)."
Cohen_BetaBlockers,pubmed:9715821,pubmed:9715821,Over 20 years' experience of beta-blockade in heart failure.,"The use of beta-blocker therapy in heart failure was contraindicated for many years because it was considered to block necessary sympathetic compensatory responses to reduced cardiac function. However, early studies provided promising results in terms of improved symptoms and work capacity and reduced heart size. Small-scale studies have been completed over the past 20 years but until large-scale, long-term, randomized trials were conducted, the potential of beta-blockers in heart failure was not confirmed. The results of randomized trials published to date have included over 3,000 patients and the results show improvements in left ventricular function and heart rate. Significant improvements in New York Heart Association classification were also shown. Although no conclusive effect on mortality was shown, the first Cardiac Insufficiency Bisoprolol Study (CIBIS) indicated a trend toward improved survival during long-term treatment with bisoprolol. Ongoing studies have been specifically designed to investigate the effects of beta-blockers on survival. One of these trials, CIBIS II, which was terminated early in 1998 because of a positive effect on survival, is expected to report in late summer 1998. Such trials will also examine the different mechanisms of action of beta-blockers in heart failure and the influence of causes on the effects of beta-blockade.",pico,INCLUDE,2,0.014012246870429259,1.0,0.893651142371193,genuine_fp,"The abstract describes a narrative review summarizing multiple studies, not a primary study or systematic review. The study design criteria explicitly exclude narrative reviews."
Cohen_AtypicalAntipsychotics,pubmed:9193198,pubmed:9193198,"The effects of a selective D4 dopamine receptor antagonist (L-745,870) in acutely psychotic inpatients with schizophrenia. D4 Dopamine Antagonist Group.","BACKGROUND: Based mainly on the selective antagonism of clozapine at D4 compared with D2 dopamine receptors, hopes have run high that a selective D4 dopamine receptor antagonist might improve the pharmacological treatment of patients with schizophrenia. We report, to our knowledge, the first multicenter study of the antipsychotic potential of a highly specific D4 dopamine receptor antagonist (ie, L-745,870) in patients with acute schizophrenia. METHODS: Thirty-eight acutely psychotic and neuroleptic responsive (by history) newly admitted inpatients with schizophrenia were randomized to 4 weeks of double-blind treatment (2:1) with either L-745,870 (n = 26), 15 mg/d, or placebo (n = 12) after a 3- to 5-day placebo run-in period. RESULTS: Overall, a greater percentage of patients receiving L-745,870 compared with patients receiving placebo discontinued the study for insufficient therapeutic response (32% vs 16%). At the end of 4 weeks by last observation carried forward analysis, the mean change from baseline to week 4 on the total Brief Psychiatric Rating Scale favored placebo (i.e., -8 points [-15% change from baseline] vs -1 point [-2% change from baseline] for placebo vs L-745,870, P = .09). Similar differences in favor of placebo in changes from baseline mean scores were observed for the not carried forward analysis on the total Brief Psychiatric Rating Scale (P < .03), for not carried forward and last observation carried forward analyses on the sum of selected positive symptom items of the Brief Psychiatric Rating Scale, and for the Clinical Global Impression analysis (P = .03, last observation carried forward). A greater percentage of patients receiving L-745,870 had scores indicative of some level of worsening (compared with baseline) on the total Brief Psychiatric Rating Scale and the Clinical Global Impressions' Severity of Illness Scale as well as positive symptoms compared with those receiving placebo. CONCLUSION: The selective D4 dopamine receptor antagonist L-745,870 was ineffective as an antipsychotic for the treatment of neuroleptic responsive inpatients with acute schizophrenia.",pico,INCLUDE,1,0.027349305847161828,0.8857675191023606,0.9009886752965809,genuine_fp,"Intervention is L-745,870, a selective D4 antagonist, not an atypical antipsychotic listed in the inclusion criteria. The study compares it to placebo, but the intervention itself is excluded."
Cohen_AtypicalAntipsychotics,pubmed:11684748,pubmed:11684748,"Effects of clozapine, olanzapine, risperidone, and haloperidol on hostility among patients with schizophrenia.","OBJECTIVE: This study compared the specific antiaggressive effects of clozapine with those of olanzapine, risperidone, and haloperidol. METHODS: A total of 157 inpatients with schizophrenia or schizoaffective disorder and a history of suboptimal treatment response were randomly assigned to receive clozapine, olanzapine, risperidone, or haloperidol in a double-blind 14-week trial. The trial was divided into two periods: eight weeks during which the dosage was escalated and then fixed, and six weeks during which variable dosages were used. The hostility item of the Positive and Negative Syndrome Scale (PANSS) was the principal outcome measure. Covariates included the items that reflect positive symptoms of schizophrenia (delusions, suspiciousness or feelings of persecution, grandiosity, unusual thought content, conceptual disorganization, and hallucinations) and the sedation item of the Nurses Observation Scale for Inpatient Evaluation (NOSIE). RESULTS: Patients differed in their treatment response as measured by the hostility item of the PANSS. The scores of patients taking clozapine indicated significantly greater improvement than those of patients taking haloperidol or risperidone. The effect on hostility appeared to be independent of the antipsychotic effect of clozapine on other PANSS items that reflect delusional thinking, a formal thought disorder, or hallucinations and independent of sedation as measured by the NOSIE. Neither risperidone nor olanzapine showed superiority to haloperidol. CONCLUSION: Clozapine has a relative advantage over other antipsychotics as a specific antihostility agent.",pico,INCLUDE,1,0.027350834666693552,0.8857675191023606,0.8692571935448326,genuine_fp,"Excluded due to Intervention: haloperidol (a first-generation antipsychotic) is listed as an intervention, which is explicitly excluded per Intervention criteria."
Cohen_Triptans,pubmed:7964913,pubmed:7964913,Intranasal sumatriptan for the acute treatment of migraine. International Intranasal Sumatriptan Study Group.,"Two double-blind, placebo-controlled, randomised, multicentre, multinational, parallel-group studies were carried out to identify the optimum dose of intranasal sumatriptan for the acute treatment of migraine. Study medication was taken as a single dose through one nostril in the first study, and as a divided dose through two nostrils in the second study. Totals of 245 and 210 patients with a history of migraine were recruited into the one- and two-nostril studies, respectively. In both studies, headache severity had significantly improved at 120 min after doses of 10-40 mg sumatriptan compared to placebo (P < 0.05) and the greatest efficacy rates were obtained with 20 mg sumatriptan. With 20 mg sumatriptan 78% and 74% of patients experienced headache relief in one- and two-nostril studies respectively. Sumatriptan was generally well tolerated, the most frequently reported event being taste disturbance. The results of the two studies are similar and indicate that administering sumatriptan as a divided dose via two nostrils confers no significant advantage over single-nostril administration.",pico,INCLUDE,1,0.06866998786792983,1.0,0.7114861434629095,label_error,"Study compares sumatriptan (triptan) to placebo in migraine patients, assessing headache relief and safety. This fits all inclusion criteria: Population (migraine), Intervention (triptan), Comparator (placebo), Outcome (efficacy/safety), and Study design (RCT)."
Cohen_Statins,pubmed:12659359,pubmed:12659359,Treatment of patients with lipid disorders in the primary care setting: new treatment guidelines and their implications.,"Coronary heart disease (CHD) remains a major cause of morbidity and mortality throughout North America. The role played by lipid abnormalities is now well established, and primary care physicians can play a major role in reversing the increasing prevalence of CHD by following the recommended guidelines of the National Cholesterol Expert Panel (NCEP ATP-III). While many physicians are aware of the importance of lowering lipid levels, a large number of patients still fail to reach their treatment goals. It is therefore important to identify patients at risk of developing coronary events due to abnormal lipid profiles and to quickly implement effective prevention programs. Although diet and other lifestyle modifications should form the basis of lipid management, the addition of lipid-modifying drugs is often necessary. Several lipid-modifying agents are available, but the proven efficacy and good tolerability of statins has increasingly made them the drugs of choice.",pico,INCLUDE,2,0.015200670268378806,1.0,0.9662788150278369,genuine_fp,"The record is a narrative review discussing guidelines, not a study reporting original research. It does not meet the study design criteria, which require randomized controlled trials, systematic reviews of RCTs, or meta-analyses of RCTs."
